task_name,remove_rate,abstention_rate,n_remaining,tpr,tnr,fpr,fnr,method
lab_hyperkalemia,0.0,0.0,88542,0.5509957754978877,0.7988375438798412,0.20116245612015882,0.44900422450211225,entropy
lab_hyperkalemia,0.05,0.05001016466761532,84114,0.39805825242718446,0.8374478148603972,0.1625521851396028,0.6019417475728155,entropy
lab_hyperkalemia,0.1,0.10000903526010252,79687,0.28351012536162007,0.8818944691671965,0.11810553083280356,0.71648987463838,entropy
lab_hyperkalemia,0.2,0.20000677644507692,70833,0.08926261319534282,0.9646445903511276,0.0353554096488724,0.9107373868046572,entropy
lab_hyperkalemia,0.3,0.3000045176300513,61979,0.019834710743801654,0.9951282301951967,0.004871769804803337,0.9801652892561984,entropy
lab_hyperkalemia,0.4,0.4000022588150256,53125,0.010570824524312896,0.9978918179746259,0.0021081820253741547,0.9894291754756871,entropy
lab_hyperkalemia,0.5,0.5,44271,0.014285714285714285,0.9975410395938161,0.00245896040618383,0.9857142857142858,entropy
lab_hyponatremia,0.0,0.0,94045,0.5950300174785318,0.7338432235297592,0.26615677647024083,0.4049699825214682,entropy
lab_hyponatremia,0.05,0.05000797490563025,89342,0.5638289138822756,0.7630501692828563,0.23694983071714373,0.4361710861177243,entropy
lab_hyponatremia,0.1,0.10000531660375356,84640,0.5294458303635068,0.7928350913300746,0.2071649086699254,0.4705541696364932,entropy
lab_hyponatremia,0.2,0.19999999999999996,75236,0.4518765458651468,0.8525901338324093,0.14740986616759066,0.5481234541348532,entropy
lab_hyponatremia,0.3,0.3000053166037535,65831,0.36924616410940625,0.9092858126315375,0.09071418736846246,0.6307538358905938,entropy
lab_hyponatremia,0.4,0.4,56427,0.28717415778990213,0.9545900178253119,0.04540998217468806,0.7128258422100978,entropy
lab_hyponatremia,0.5,0.5000053166037535,47022,0.2366190642052711,0.9800046864016246,0.01999531359837538,0.7633809357947289,entropy
new_hypertension,0.0,0.0,1822,0.634453781512605,0.6906565656565656,0.30934343434343436,0.36554621848739494,entropy
new_hypertension,0.05,0.05049396267837536,1730,0.6108597285067874,0.7243207422133864,0.2756792577866137,0.3891402714932127,entropy
new_hypertension,0.1,0.10043907793633366,1639,0.5792079207920792,0.7571329157967989,0.2428670842032011,0.4207920792079208,entropy
new_hypertension,0.2,0.20032930845225028,1457,0.5060240963855421,0.8226181254841208,0.17738187451587917,0.4939759036144578,entropy
new_hypertension,0.3,0.3002195389681669,1275,0.44776119402985076,0.880806310254163,0.11919368974583698,0.5522388059701493,entropy
new_hypertension,0.4,0.4001097694840834,1093,0.39622641509433965,0.9250253292806484,0.07497467071935157,0.6037735849056604,entropy
new_hypertension,0.5,0.5,911,0.38461538461538464,0.9651860744297719,0.03481392557022809,0.6153846153846154,entropy
lab_hypoglycemia,0.0,0.0,130462,0.5604460093896714,0.8330589167275043,0.16694108327249568,0.4395539906103286,entropy
lab_hypoglycemia,0.05,0.050006898560500335,123938,0.382013201320132,0.873987582093444,0.12601241790655607,0.6179867986798679,entropy
lab_hypoglycemia,0.1,0.10000613205377806,117415,0.2312435765673176,0.9204668418611841,0.0795331581388159,0.7687564234326825,entropy
lab_hypoglycemia,0.2,0.20000459904033363,104369,0.03278688524590164,0.9908098516846998,0.009190148315300198,0.9672131147540983,entropy
lab_hypoglycemia,0.3,0.3000030660268891,91323,0.004098360655737705,0.9987780040733197,0.0012219959266802445,0.9959016393442623,entropy
lab_hypoglycemia,0.4,0.40000153301344454,78277,0.005633802816901409,0.9986524986524986,0.0013475013475013474,0.9943661971830986,entropy
lab_hypoglycemia,0.5,0.5,65231,0.00819672131147541,0.998384292243064,0.0016157077569360027,0.9918032786885246,entropy
guo_readmission,0.0,0.0,3450,0.6075,0.8042622950819672,0.19573770491803277,0.3925,entropy
guo_readmission,0.05,0.0501449275362319,3277,0.5124223602484472,0.8301184433164128,0.16988155668358715,0.48757763975155277,entropy
guo_readmission,0.1,0.09999999999999998,3105,0.4157303370786517,0.8639887244538408,0.13601127554615927,0.5842696629213483,entropy
guo_readmission,0.2,0.19999999999999996,2760,0.18085106382978725,0.9440124416796267,0.05598755832037325,0.8191489361702128,entropy
guo_readmission,0.3,0.30000000000000004,2415,0.032,0.9890829694323144,0.010917030567685589,0.968,entropy
guo_readmission,0.4,0.4,2070,0.010416666666666666,1.0,0.0,0.9895833333333334,entropy
guo_readmission,0.5,0.5,1725,0.0,1.0,0.0,1.0,entropy
lab_thrombocytopenia,0.0,0.0,79763,0.6886721397906154,0.8222105282940856,0.17778947170591441,0.31132786020938463,entropy
lab_thrombocytopenia,0.05,0.05001065657008885,75774,0.6663948462855744,0.8504527005931939,0.1495472994068061,0.3336051537144255,entropy
lab_thrombocytopenia,0.1,0.10000877599889668,71786,0.6455005324813632,0.8776446700507614,0.12235532994923858,0.35449946751863687,entropy
lab_thrombocytopenia,0.2,0.20000501485651245,63810,0.6127965875766462,0.926090334036178,0.073909665963822,0.38720341242335377,entropy
lab_thrombocytopenia,0.3,0.3000012537141281,55834,0.6007587154163124,0.9606856579109632,0.03931434208903687,0.39924128458368763,entropy
lab_thrombocytopenia,0.4,0.4000100297130248,47857,0.6071778140293638,0.9778352108323736,0.022164789167626486,0.39282218597063623,entropy
lab_thrombocytopenia,0.5,0.5000062685706406,39881,0.6246328157784306,0.985304293386932,0.014695706613067976,0.37536718422156945,entropy
lab_anemia,0.0,0.0,82131,0.9408650576276172,0.7696718355571583,0.23032816444284168,0.059134942372382863,entropy
lab_anemia,0.05,0.05000547905175878,78024,0.9496002974530582,0.7506808615994058,0.24931913840059422,0.05039970254694181,entropy
lab_anemia,0.1,0.10001095810351757,73917,0.961079034548036,0.7379575194386497,0.26204248056135027,0.03892096545196403,entropy
lab_anemia,0.2,0.20000974053646003,65704,0.9822095712506671,0.7206748263314589,0.2793251736685412,0.01779042874933286,entropy
lab_anemia,0.3,0.3000085229694025,57491,0.9956799832232358,0.7252702427085458,0.2747297572914542,0.004320016776764182,entropy
lab_anemia,0.4,0.4000073054023451,49278,0.9985658023539054,0.7393010652214539,0.26069893477854605,0.001434197646094657,entropy
lab_anemia,0.5,0.5000060878352875,41065,0.9991008811364862,0.7170252572497662,0.2829747427502339,0.0008991188635137566,entropy
new_hyperlipidemia,0.0,0.0,2116,0.4689922480620155,0.7432723358449946,0.25672766415500536,0.5310077519379846,entropy
new_hyperlipidemia,0.05,0.05009451795841213,2010,0.4069264069264069,0.7762788083192805,0.2237211916807195,0.5930735930735931,entropy
new_hyperlipidemia,0.1,0.10018903591682415,1904,0.3476190476190476,0.8146399055489965,0.18536009445100354,0.6523809523809524,entropy
new_hyperlipidemia,0.2,0.20037807183364842,1692,0.19047619047619047,0.8963254593175853,0.1036745406824147,0.8095238095238095,entropy
new_hyperlipidemia,0.3,0.30009451795841213,1481,0.07246376811594203,0.9717051377513031,0.028294862248696945,0.927536231884058,entropy
new_hyperlipidemia,0.4,0.4002835538752363,1269,0.03773584905660377,0.9939810834049871,0.0060189165950128975,0.9622641509433962,entropy
new_hyperlipidemia,0.5,0.5,1058,0.024390243902439025,0.9989754098360656,0.0010245901639344263,0.975609756097561,entropy
new_acutemi,0.0,0.0,3354,0.4708994708994709,0.7605055292259084,0.23949447077409164,0.5291005291005291,entropy
new_acutemi,0.05,0.05008944543828264,3186,0.38650306748466257,0.7962289116771419,0.2037710883228581,0.6134969325153374,entropy
new_acutemi,0.1,0.10017889087656529,3018,0.32432432432432434,0.8386759581881533,0.1613240418118467,0.6756756756756757,entropy
new_acutemi,0.2,0.20005963029218843,2683,0.125,0.9319330999611046,0.06806690003889537,0.875,entropy
new_acutemi,0.3,0.3002385211687537,2347,0.011111111111111112,0.9867080194949047,0.01329198050509526,0.9888888888888889,entropy
new_acutemi,0.4,0.40011926058437686,2012,0.0,1.0,0.0,1.0,entropy
new_acutemi,0.5,0.5,1677,0.0,1.0,0.0,1.0,entropy
guo_los,0.0,0.0,3457,0.7756041426927502,0.6904945904173106,0.30950540958268935,0.2243958573072497,entropy
guo_los,0.05,0.05004339022273652,3284,0.7696078431372549,0.7151539708265803,0.2848460291734198,0.23039215686274508,entropy
guo_los,0.1,0.10008678044547292,3111,0.7682291666666666,0.7392232180964575,0.2607767819035425,0.23177083333333334,entropy
guo_los,0.2,0.20017356089094596,2765,0.7754172989377845,0.7758784425451092,0.2241215574548908,0.22458270106221548,entropy
guo_los,0.3,0.3002603413364189,2419,0.7734513274336283,0.8225458468176915,0.17745415318230853,0.22654867256637168,entropy
guo_los,0.4,0.4000578536303153,2074,0.7760532150776053,0.8521256931608133,0.1478743068391867,0.22394678492239467,entropy
guo_los,0.5,0.5001446340757882,1728,0.781437125748503,0.8923959827833573,0.10760401721664276,0.218562874251497,entropy
guo_icu,0.0,0.0,3215,0.5851851851851851,0.8467532467532467,0.15324675324675324,0.4148148148148148,entropy
guo_icu,0.05,0.05007776049766721,3054,0.48148148148148145,0.8852681602172437,0.11473183978275628,0.5185185185185185,entropy
guo_icu,0.1,0.10015552099533442,2893,0.3707865168539326,0.9300998573466477,0.06990014265335236,0.6292134831460674,entropy
guo_icu,0.2,0.19999999999999996,2572,0.265625,0.9924242424242424,0.007575757575757576,0.734375,entropy
guo_icu,0.3,0.3001555209953344,2250,0.23255813953488372,0.9990937924784775,0.0009062075215224287,0.7674418604651163,entropy
guo_icu,0.4,0.4,1929,0.16666666666666666,1.0,0.0,0.8333333333333334,entropy
guo_icu,0.5,0.5001555209953343,1607,0.14285714285714285,1.0,0.0,0.8571428571428571,entropy
new_pancan,0.0,0.0,3434,0.6370370370370371,0.858441952106699,0.141558047893301,0.362962962962963,entropy
new_pancan,0.05,0.05008736167734418,3262,0.4431818181818182,0.8922495274102079,0.10775047258979206,0.5568181818181818,entropy
new_pancan,0.1,0.10017472335468836,3090,0.3,0.937748344370861,0.06225165562913907,0.7,entropy
new_pancan,0.2,0.20005824111822945,2747,0.0,0.9955621301775148,0.004437869822485207,1.0,entropy
new_pancan,0.3,0.3002329644729179,2403,0.0,1.0,0.0,1.0,entropy
new_pancan,0.4,0.4001164822364589,2060,0.0,1.0,0.0,1.0,entropy
