task_name,n_train,n_val,n_test,e_v_threshold,n_keep,abstain_rate,roc_auc,accuracy,brier_score,ece,mce,precision,recall,f1_score,specificity,sensitivity,predictive_entropy_mean,aleatoric_entropy_mean,epistemic_uncertainty_mean
lab_hyperkalemia,89302,22326,88542,0.01,82085,0.07292584310270833,0.6797327991455714,0.8502162392641773,0.013890126461803456,0.006668308692226212,0.4566247315533393,0.032660581190855034,0.3439153439153439,0.05965583173996176,0.8573087423256044,0.3439153439153439,0.040535677,0.03860102,0.0019346592
lab_hyperkalemia,89302,22326,88542,0.02,86948,0.0180027557543313,0.7197896721696136,0.8065510420021162,0.016742237298222648,0.007112868517868959,0.821759819984436,0.04292433172590344,0.49215017064846417,0.07896177855656554,0.8119392159844647,0.49215017064846417,0.05393106,0.051337678,0.002593386
lab_hyperkalemia,89302,22326,88542,0.03,88159,0.004325630774095868,0.7355800101531531,0.7970258283328985,0.017907996068842646,0.007750886451727596,0.821759819984436,0.04764549089293647,0.5355805243445693,0.08750637429882713,0.8018646672135125,0.5355805243445693,0.05928616,0.056400754,0.0028853987
lab_hyperkalemia,89302,22326,88542,0.04,88465,0.0008696437848704219,0.7406915587204369,0.7947775956593003,0.018311056165713692,0.008139003347947614,0.821759819984436,0.04930654144370427,0.5482695810564663,0.09047642903662141,0.7994540302702204,0.5482695810564663,0.060935684,0.05794457,0.0029911164
lab_hyperkalemia,89302,22326,88542,0.05,88537,5.647037564093793e-05,0.7417672604698411,0.794244214283294,0.01839084888329967,0.008259201252577755,0.821759819984436,0.04965734798216034,0.5509957754978877,0.09110412612882303,0.798883517495396,0.5509957754978877,0.061351545,0.058327254,0.0030242882
lab_hyperkalemia,89302,22326,88542,0.06,88542,0.0,0.7417282967805897,0.7941993630141627,0.018398084115718718,0.008278523826019648,0.821759819984436,0.04964384753411995,0.5509957754978877,0.09108140462889067,0.7988375438798412,0.5509957754978877,0.06138158,0.058354445,0.0030271248
lab_hyponatremia,95033,23759,94045,0.01,15495,0.8352384496783455,0.7135495471916488,0.908486608583414,0.08525420774937652,0.07628972612684409,0.27107154716879633,0.7655310621242485,0.22697563874034463,0.35013748854262144,0.9915291051259774,0.22697563874034463,0.06459937,0.059645418,0.0049539604
lab_hyponatremia,95033,23759,94045,0.02,28410,0.6979105747248657,0.7048610543308673,0.8828229496656107,0.10871914764175193,0.09045697080967335,0.27107154716879633,0.8120229007633588,0.2136580466984685,0.33830252434903596,0.991935153723339,0.2136580466984685,0.11061198,0.10116591,0.009446061
lab_hyponatremia,95033,23759,94045,0.03,39329,0.5818065819554469,0.7107527200195953,0.8601286582420097,0.12617740680768402,0.09876349817748996,0.42671406269073486,0.7848031059345535,0.21675857843137256,0.339695114632097,0.9881710923447455,0.21675857843137256,0.15391316,0.14017983,0.013733337
lab_hyponatremia,95033,23759,94045,0.04,49302,0.47576160348769203,0.718085783386267,0.8384041215366517,0.13890980643884296,0.10136045335461163,0.23102429448341844,0.7037834512457706,0.24623331898407233,0.3648250019931436,0.9759310172456885,0.24623331898407233,0.19618244,0.17815404,0.018028395
lab_hyponatremia,95033,23759,94045,0.05,58924,0.3734488808549099,0.725849375891103,0.8101452718756365,0.15033645831393466,0.10125574665200353,0.1711020324143897,0.5958378970427163,0.3067998710924911,0.40504174865712916,0.9444659442724458,0.3067998710924911,0.23868366,0.21625179,0.022431837
lab_hyponatremia,95033,23759,94045,0.06,68499,0.27163591897495876,0.732766468361848,0.776668272529526,0.16070388875011962,0.09865834873473289,0.17331025482850215,0.5280519699654096,0.39209421787884485,0.4500287604256543,0.8935206334703822,0.39209421787884485,0.28017572,0.25320306,0.026972597
