task_name,n_train,n_val,n_test,e_v_threshold,n_keep,abstain_rate,roc_auc,accuracy,brier_score,ece,mce,precision,recall,f1_score,specificity,sensitivity,predictive_entropy_mean,aleatoric_entropy_mean,epistemic_uncertainty_mean
lab_hyperkalemia,89302,22326,88542,0.01,83447,0.05754331277811664,0.7003603473126984,0.8489100866418205,0.014509455641955885,0.007851632713924405,0.5399673382441202,0.03552803129074315,0.3609271523178808,0.06468842729970327,0.8560780165128467,0.3609271523178808,0.03819456,0.036443613,0.0017509443
lab_hyperkalemia,89302,22326,88542,0.02,87279,0.014264416886901166,0.7269480402673171,0.8146174910344985,0.01666087957005259,0.008010927774910557,0.500238577524821,0.043219076005961254,0.47411444141689374,0.0792169360346005,0.8204426005989908,0.47411444141689374,0.04954724,0.047274098,0.0022731367
lab_hyperkalemia,89302,22326,88542,0.03,88186,0.004020690745634825,0.7430458298539548,0.8077132424647904,0.01771651694272998,0.008369690291618178,0.38227883252230555,0.048556816177767324,0.5168961201501877,0.08877424901929173,0.8130803344574306,0.5168961201501877,0.053772226,0.05127519,0.0024970388
lab_hyperkalemia,89302,22326,88542,0.04,88439,0.0011632897382033436,0.7479099455737239,0.8058774974841416,0.01809950306780857,0.00865392797946698,0.40288805961608887,0.050278035217794254,0.5292682926829269,0.09183241641980533,0.8111038145600756,0.5292682926829269,0.05519199,0.052604727,0.0025872635
lab_hyperkalemia,89302,22326,88542,0.05,88526,0.0001807052020510458,0.7494393341137743,0.8052436572306441,0.01824358620296818,0.008827702636017225,0.40288805961608887,0.05083280502564694,0.5332527206771464,0.09281767955801105,0.8104222304079566,0.5332527206771464,0.055743903,0.053116318,0.00262758
lab_hyperkalemia,89302,22326,88542,0.06,88538,4.5176300512705936e-05,0.7496571923249336,0.805157107682577,0.01826975833229787,0.00885582401607651,0.40288805961608887,0.05091286068075793,0.533816425120773,0.09295967190704033,0.8103289519117884,0.533816425120773,0.055822194,0.05318772,0.0026344706
lab_hyponatremia,95033,23759,94045,0.01,20397,0.7831144664788133,0.7657786385041037,0.9176349463156347,0.07510667442124797,0.05334538879882895,0.5503872235616047,0.8219663418954827,0.3855421686746988,0.5248868778280543,0.9888271261812118,0.3855421686746988,0.118100934,0.11274836,0.005352579
lab_hyponatremia,95033,23759,94045,0.02,39795,0.576851507257164,0.7637740567579476,0.8760899610503832,0.10700918520484029,0.06287484042592677,0.24408353792203888,0.7490808823529411,0.37288394082659754,0.49791263618776094,0.9753595282507973,0.37288394082659754,0.2055101,0.1954891,0.010021013
lab_hyponatremia,95033,23759,94045,0.03,58575,0.3771598702748684,0.7694088830688992,0.8164916773367478,0.13451108240431486,0.06573031911878467,0.1826709330323254,0.583086367485182,0.4471953892361393,0.5061790784214637,0.9148434797647873,0.4471953892361393,0.29088813,0.27603853,0.014849581
lab_hyponatremia,95033,23759,94045,0.04,76003,0.19184432984209687,0.7670685091152074,0.7567596015946739,0.15486396061458485,0.06592500518328637,0.17223777438231058,0.5071893519867872,0.5558749933450461,0.5304173334349361,0.8227018524991262,0.5558749933450461,0.3567702,0.33735374,0.019416416
lab_hyponatremia,95033,23759,94045,0.05,86962,0.07531500877239616,0.7627592963684214,0.723568915158345,0.16514652441086264,0.06529338346508388,0.17218967709000632,0.4871404399323181,0.618368486618841,0.5449658331598175,0.7620244021167345,0.618368486618841,0.39054424,0.36797202,0.02257221
lab_hyponatremia,95033,23759,94045,0.06,91807,0.023797118400765593,0.7604795378673718,0.710708333787184,0.16906985062157665,0.06442627689745879,0.17201889488726585,0.4821702680363679,0.6443138337738157,0.5515727624225438,0.736035873359817,0.6443138337738157,0.40395102,0.3797092,0.024241801
new_hypertension,1553,389,1822,0.01,1374,0.2458836443468716,0.7036921206828388,0.8595342066957787,0.08470005992470993,0.04578802471077598,0.6813599268595377,0.29411764705882354,0.291970802919708,0.29304029304029305,0.9223928860145514,0.291970802919708,0.18246602,0.17820725,0.0042587826
