task,tpr_ci,tnr_ci,abstain_rate_ci,tpr_entropy,tnr_entropy,abstain_rate_entropy
guo_icu,,,,0.6564885496183206,0.823146944083225,0.0024883359253499
guo_icu,,,,0.64,0.8266405484818805,0.0083981337480559
guo_icu,,,,0.6052631578947368,0.83841059602649,0.0251944012441679
guo_icu,,,,0.5588235294117647,0.8647540983606558,0.0575427682737169
guo_icu,,,,0.4375,0.9215328467153284,0.1228615863141524
guo_icu,,,,0.3278688524590163,0.9905232797692624,0.2261275272161741
guo_los,,,,0.8250863060989643,0.6676970633693973,0.0
guo_los,,,,0.8250863060989643,0.6676970633693973,0.0
guo_los,,,,0.8248847926267281,0.6676970633693973,0.0002892681515764
guo_los,,,,0.8262910798122066,0.6709753231492362,0.0150419438819785
guo_los,,,,0.8281481481481482,0.7311776061776062,0.2053803876193231
guo_los,,,,0.8593155893536122,0.8904382470119522,0.63349725195256
guo_readmission,,,,0.58,0.8062295081967213,0.0
guo_readmission,,,,0.58,0.8062295081967213,0.0
guo_readmission,,,,0.58,0.8062295081967213,0.0
guo_readmission,,,,0.58,0.8062295081967213,0.0
guo_readmission,,,,0.58,0.8062295081967213,0.0
guo_readmission,,,,0.5434782608695652,0.8224080267558529,0.0266666666666666
lab_anemia,,,,0.928345588235294,0.8150914799177222,0.000243513411501
lab_anemia,,,,0.9284479905871972,0.8147331115290033,0.0010349319988798
lab_anemia,,,,0.9287027842142044,0.8137993810304023,0.0035065931256164
lab_anemia,,,,0.9297605893186004,0.8108027454491197,0.0124557109982832
lab_anemia,,,,0.9360911337830556,0.803128437003544,0.0459144537385396
lab_anemia,,,,0.9600967823762416,0.79125,0.1714577930379516
lab_hyperkalemia,,,,0.533816425120773,0.8103289519117884,4.5176300512705936e-05
lab_hyperkalemia,,,,0.5332527206771464,0.8104222304079566,0.000180705202051
lab_hyperkalemia,,,,0.5292682926829269,0.8111038145600756,0.0011632897382033
lab_hyperkalemia,,,,0.5168961201501877,0.8130803344574306,0.0040206907456348
lab_hyperkalemia,,,,0.4741144414168937,0.8204426005989908,0.0142644168869011
lab_hyperkalemia,,,,0.3609271523178808,0.8560780165128467,0.0575433127781166
lab_hypoglycemia,,,,0.4580378250591017,0.8543018565866471,0.0007128512517055
lab_hypoglycemia,,,,0.4541666666666666,0.8550128334759275,0.0016249942511995
lab_hypoglycemia,,,,0.4449152542372881,0.8564650336574421,0.0035106007879689
lab_hypoglycemia,,,,0.4332509270704573,0.8598951814768461,0.0076957274915301
lab_hypoglycemia,,,,0.4110468850353243,0.867597963774121,0.016863147889807
lab_hypoglycemia,,,,0.3267254038179148,0.8963251062025553,0.0494933390565834
lab_hyponatremia,,,,0.6443138337738157,0.736035873359817,0.0237971184007655
lab_hyponatremia,,,,0.618368486618841,0.7620244021167345,0.0753150087723961
lab_hyponatremia,,,,0.5558749933450461,0.8227018524991262,0.1918443298420968
lab_hyponatremia,,,,0.4471953892361393,0.9148434797647872,0.3771598702748684
lab_hyponatremia,,,,0.3728839408265975,0.9753595282507972,0.576851507257164
lab_hyponatremia,,,,0.3855421686746988,0.9888271261812118,0.7831144664788133
lab_thrombocytopenia,,,,0.6342096039256923,0.964573141865236,0.3444704938379951
lab_thrombocytopenia,,,,0.6420127547052419,0.9708901228335858,0.3917480536088161
lab_thrombocytopenia,,,,0.6518687489033164,0.9760678582247804,0.4432506299913493
lab_thrombocytopenia,,,,0.6632684269548373,0.9809536583730132,0.5031405538909017
lab_thrombocytopenia,,,,0.6814170448814927,0.9845216851578864,0.5773729674159698
lab_thrombocytopenia,,,,0.7118402282453637,0.9873417721518988,0.6820831713952584
new_acutemi,,,,0.4338624338624338,0.7665086887835703,0.0
