task_name,threshold_mean_label,ci_width,n_test,n_confident,uauc,roc_auc_confident,ar_uauc,tpr,tnr,fnr,fpr,positive_abstain_rate,negative_abstain_rate,overall_abstain_rate,abstained_true_positives,abstained_true_negatives
lab_hyperkalemia,0.018714282487407106,0.0,88542,88542,0.7249320116631393,0.7249320085383988,1.3891933055191365e-08,0.5691007845503923,0.7526385452034299,0.43089921544960774,0.24736145479657018,0.0,0.0,0.0,0,0
lab_hyperkalemia,0.018714282487407106,0.5,88542,76229,0.7762399195056773,0.7424303647030488,0.21503143970194302,0.5352313167259787,0.8293461990805089,0.4647686832740214,0.17065380091949106,0.15208207604103802,0.13881567589342234,0.1390639470533758,252,12061
lab_hyperkalemia,0.018714282487407106,0.6,88542,73197,0.7885240571186718,0.7463706598992216,0.2663487891391756,0.5389221556886228,0.8357384394873436,0.46107784431137727,0.1642615605126564,0.19372359686179844,0.17291822524026013,0.17330758284204106,321,15024
lab_hyperkalemia,0.018714282487407106,0.7,88542,69482,0.8024969544236907,0.7517301500695736,0.32475516423060624,0.5445151033386327,0.8437646575984991,0.45548489666136727,0.15623534240150094,0.2407966203983102,0.21477815503251424,0.21526507194325856,399,18661
lab_hyperkalemia,0.018714282487407106,0.8,88542,64866,0.8196793162273932,0.7597296729770705,0.39492783297062073,0.5577249575551783,0.8522484612485869,0.44227504244482174,0.14775153875141314,0.28907664453832227,0.2669850952408356,0.2673985227349732,479,23197
lab_hyperkalemia,0.018714282487407106,0.9,88542,57867,0.843923419710704,0.7725156928998831,0.4914893260116826,0.5749525616698292,0.8622146339746185,0.4250474383301708,0.13778536602538152,0.363910681955341,0.3461126776773897,0.3464457545571593,603,30072
lab_hyperkalemia,0.018714282487407106,0.95,88542,52047,0.8632645612891784,0.7828548926776995,0.5668385527120197,0.597457627118644,0.8681682093027807,0.4025423728813559,0.13183179069721934,0.4302957151478576,0.41183173159924036,0.412177271803212,713,35782
lab_hyponatremia,0.27984475517039714,0.0,94045,94045,0.7554902310441169,0.755489860230216,1.4513819154781532e-06,0.7383919750740938,0.6348428248704358,0.26160802492590624,0.3651571751295643,0.0,0.0,0.0,0,0
lab_hyponatremia,0.27984475517039714,0.5,94045,76585,0.8128469892697496,0.7808603655254132,0.22984520550144594,0.7568591224018476,0.6829161736597797,0.24314087759815242,0.31708382634022025,0.17736910099551637,0.18887592835944306,0.18565580307299698,4668,12792
lab_hyponatremia,0.27984475517039714,0.6,94045,72343,0.8261884805822913,0.7873658813890682,0.2850898173644618,0.7678249427360008,0.6897576412472985,0.23217505726399923,0.31024235875270145,0.22034349114674368,0.23481034151815378,0.23076186931787973,5799,15903
lab_hyponatremia,0.27984475517039714,0.7,94045,67568,0.8410635869461114,0.7947507606545845,0.3478575049684753,0.7794698544698545,0.6982287700711802,0.22053014553014552,0.3017712299288197,0.2689414089216506,0.2864293413262067,0.28153543516401724,7078,19399
lab_hyponatremia,0.27984475517039714,0.8,94045,61619,0.858782895694916,0.8038307496291082,0.42399337993459035,0.7928365629060505,0.7070904868163396,0.2071634370939495,0.29290951318366043,0.3274184968462649,0.3515436974913993,0.34479238662342493,8617,23809
lab_hyponatremia,0.27984475517039714,0.9,94045,53135,0.8825003629063695,0.8177571557091861,0.529394784075399,0.8129128351249838,0.7197888202053432,0.1870871648750162,0.2802111797946568,0.4132532867239152,0.4434568192892052,0.4350045191131905,10876,30034
lab_hyponatremia,0.27984475517039714,0.95,94045,46420,0.9002358513940057,0.8293374077550029,0.6115485569222668,0.8302607418288652,0.7295229385764365,0.16973925817113478,0.2704770614235635,0.4826734554297439,0.515628921995659,0.5064065075229943,12703,34922
new_hypertension,0.13062568605927552,0.0,1822,1822,0.7176889695272048,0.7176889695272048,0.0,0.5588235294117647,0.7436868686868687,0.4411764705882353,0.2563131313131313,0.0,0.0,0.0,0,0
new_hypertension,0.13062568605927552,0.5,1822,1618,0.755110029118335,0.7295792790126895,0.16646772345301758,0.5615763546798029,0.7809187279151943,0.43842364532019706,0.21908127208480566,0.14705882352941177,0.10669191919191919,0.1119648737650933,35,169
new_hypertension,0.13062568605927552,0.6,1822,1569,0.7638051974079765,0.7330807594974174,0.20587174263644853,0.5736040609137056,0.7871720116618076,0.4263959390862944,0.21282798833819241,0.1722689075630252,0.13383838383838384,0.13885839736553238,41,212
new_hypertension,0.13062568605927552,0.7,1822,1500,0.7739194523382633,0.7388078506033542,0.25139525507172567,0.5863874345549738,0.7975553857906799,0.41361256544502617,0.20244461420932008,0.19747899159663865,0.1736111111111111,0.17672886937431395,47,275
new_hypertension,0.13062568605927552,0.8,1822,1428,0.7862059476627085,0.738530271975681,0.3059560945590357,0.6069364161849711,0.8,0.3930635838150289,0.2,0.27310924369747897,0.2077020202020202,0.21624588364434688,65,329
new_hypertension,0.13062568605927552,0.9,1822,1318,0.8036046511627907,0.744251840001718,0.38407181054239875,0.6149068322981367,0.8003457216940363,0.38509316770186336,0.1996542783059637,0.3235294117647059,0.26957070707070707,0.27661909989023054,77,427
new_hypertension,0.13062568605927552,0.95,1822,1248,0.8181796389960927,0.7487211627421138,0.4467123970800441,0.6274509803921569,0.8027397260273973,0.37254901960784315,0.19726027397260273,0.35714285714285715,0.3087121212121212,0.3150384193194292,85,489
lab_hypoglycemia,0.01306127454737778,0.0,130462,130462,0.7719501657465755,0.7719501607885871,1.8231238760897084e-08,0.5293427230046949,0.8390468941735659,0.4706572769953052,0.16095310582643407,0.0,0.0,0.0,0,0
lab_hypoglycemia,0.01306127454737778,0.5,130462,118196,0.8237155593872867,0.7794631872703004,0.19964700948979733,0.4830324909747292,0.8942051690337383,0.5169675090252708,0.10579483096626174,0.18720657276995306,0.09278646763696237,0.09401971455289664,319,11947
lab_hypoglycemia,0.01306127454737778,0.6,130462,115057,0.8356569235298604,0.7816425303300354,0.24779934363164963,0.48179059180576633,0.8996913987286682,0.5182094081942337,0.10030860127133173,0.22652582159624413,0.11664517932866307,0.11808036056476215,386,15019
lab_hypoglycemia,0.01306127454737778,0.7,130462,111234,0.8490666388437295,0.7848005255666329,0.3028040894054115,0.4895498392282958,0.9057187017001546,0.5104501607717041,0.09428129829984544,0.2699530516431925,0.14576181674148403,0.14738391255691313,460,18768
lab_hypoglycemia,0.01306127454737778,0.8,130462,106173,0.8647181209015234,0.7882921130607484,0.36978968060109413,0.48776223776223776,0.9120242980510145,0.5122377622377622,0.08797570194898552,0.3286384976525822,0.18429146150142128,0.18617681777069184,560,23729
lab_hypoglycemia,0.01306127454737778,0.9,130462,98275,0.8856616807599353,0.7933682195052463,0.46316236916260345,0.5125881168177241,0.9196048600974487,0.4874118831822759,0.08039513990255134,0.41725352112676056,0.24445859674738657,0.24671551869509895,711,31476
lab_hypoglycemia,0.01306127454737778,0.95,130462,90858,0.9013254472393682,0.7991889427718942,0.5372612564590544,0.5375854214123007,0.9249499888864192,0.4624145785876993,0.0750500111135808,0.4847417840375587,0.3011696360614486,0.30356732228541644,826,38778
guo_readmission,0.11594202898550725,0.0,3450,3450,0.7634696721311476,0.7634696721311476,0.0,0.42,0.8947540983606558,0.58,0.10524590163934426,0.0,0.0,0.0,0,0
guo_readmission,0.11594202898550725,0.5,3450,3260,0.8027369381313986,0.7615912607852944,0.1517983606557377,0.40625,0.9164374140302614,0.59375,0.08356258596973865,0.12,0.04655737704918033,0.05507246376811594,48,142
guo_readmission,0.11594202898550725,0.6,3450,3222,0.8121574026283601,0.7617107325823812,0.18848606557377048,0.4069767441860465,0.9186935371785963,0.5930232558139535,0.08130646282140375,0.14,0.05639344262295082,0.06608695652173913,56,172
guo_readmission,0.11594202898550725,0.7,3450,3153,0.8229113144109552,0.7604770127347291,0.23108360655737706,0.40853658536585363,0.9238938053097345,0.5914634146341463,0.07610619469026549,0.18,0.07377049180327869,0.08608695652173913,72,225
guo_readmission,0.11594202898550725,0.8,3450,3077,0.8354851088908076,0.7575188936902557,0.2823311475409836,0.4174757281553398,0.9291907514450867,0.5825242718446602,0.0708092485549133,0.2275,0.09245901639344262,0.1081159420289855,91,282
guo_readmission,0.11594202898550725,0.9,3450,2974,0.852975326928989,0.75586527742875,0.3547754098360656,0.4290657439446367,0.933705772811918,0.5709342560553633,0.06629422718808194,0.2775,0.11967213114754098,0.13797101449275362,111,365
guo_readmission,0.11594202898550725,0.95,3450,2875,0.8671691754787642,0.7573216783216784,0.4143049180327869,0.43272727272727274,0.9376923076923077,0.5672727272727273,0.06230769230769231,0.3125,0.14754098360655737,0.16666666666666666,125,450
lab_thrombocytopenia,0.33291124957687146,0.0,79763,79763,0.8334586810681629,0.8334584452960322,7.070505107953003e-07,0.6494690065526851,0.8562085361498994,0.3505309934473149,0.14379146385010055,0.0,0.0,0.0,0,0
lab_thrombocytopenia,0.33291124957687146,0.5,79763,70702,0.881277709643719,0.8473293230317517,0.1562115428485781,0.6533011625356437,0.9001816018535913,0.3466988374643562,0.09981839814640867,0.14156059350756947,0.09964479693284971,0.11359903714754961,3759,5302
lab_thrombocytopenia,0.33291124957687146,0.6,79763,68456,0.8917999523522149,0.8504993056939345,0.19474903155772813,0.6576951197221714,0.9067465429872026,0.34230488027782857,0.09325345701279739,0.1758680424794758,0.12473453739029111,0.14175745646477692,4670,6637
lab_thrombocytopenia,0.33291124957687146,0.7,79763,65814,0.9033144136958878,0.8538463641132482,0.23946761882273662,0.6632824904970408,0.913703892873798,0.33671750950295914,0.08629610712620195,0.2173307223017248,0.15369580334153995,0.17488058372929804,5771,8178
lab_thrombocytopenia,0.33291124957687146,0.8,79763,62536,0.9166045768705807,0.8582256424336148,0.2955213532347164,0.6713882473697717,0.9220691737706441,0.3286117526302284,0.07793082622935588,0.266212246742487,0.19090755323347555,0.21597733284856388,7069,10158
lab_thrombocytopenia,0.33291124957687146,0.9,79763,57611,0.9337578957673793,0.8643894698129502,0.37715762320068863,0.6822350059805206,0.932116642532581,0.3177649940194794,0.06788335746741898,0.33881901031859607,0.24723261102445074,0.277722753657711,8997,13155
lab_thrombocytopenia,0.33291124957687146,0.95,79763,53239,0.9460328201331936,0.870569907365528,0.44537919297956796,0.6946531430002504,0.9400810368422465,0.30534685699974956,0.05991896315775351,0.3985086992543496,0.2996109680693116,0.33253513533844015,10582,15942
lab_anemia,0.6623686549536716,0.0,82131,82131,0.9560007035263479,0.9559966445166148,8.90132340100847e-06,0.9610668921527178,0.7000721240533718,0.03893310784728222,0.2999278759466282,0.0,0.0,0.0,0,0
lab_anemia,0.6623686549536716,0.5,82131,78764,0.9674845779818537,0.9596658493859257,0.029151732052824356,0.9695858740787849,0.7127499802387163,0.03041412592121507,0.28725001976128367,0.017260712119262514,0.08755860079336458,0.04099548282621666,939,2428
lab_anemia,0.6623686549536716,0.6,82131,77922,0.9699594498897027,0.9605198163920221,0.03651020778882635,0.9710645973469618,0.7178542510121457,0.028935402653038216,0.2821457489878543,0.021672395728019704,0.10926794085827624,0.05124739745041458,1179,3030
lab_anemia,0.6623686549536716,0.7,82131,76873,0.9726411964827323,0.9615941668087927,0.04520220027615713,0.9728978851278562,0.7247308238043569,0.027102114872143788,0.2752691761956431,0.027389202404367565,0.13588171655247025,0.06401967588364929,1490,3768
lab_anemia,0.6623686549536716,0.8,82131,75617,0.9757112844568633,0.9627694968445885,0.056313200315910805,0.9749348152941401,0.7333362225881945,0.02506518470585996,0.26666377741180547,0.03415378393779526,0.16790479624954924,0.07931231812592078,1858,4656
lab_anemia,0.6623686549536716,0.9,82131,73853,0.9797096295526534,0.9644251596820832,0.07325905496701768,0.9779820394977213,0.745720823798627,0.022017960502278715,0.254279176201373,0.04408007205749894,0.21204471691309051,0.1007902010203212,2398,5880
lab_anemia,0.6623686549536716,0.95,82131,72287,0.9826406948172492,0.9658254630622576,0.0883627274437114,0.9800399976700387,0.756158583525789,0.01996000232996136,0.24384141647421093,0.05327107957574309,0.2504868373602597,0.11985730114086034,2898,6946
new_hyperlipidemia,0.1219281663516068,0.0,2116,2116,0.6615202643502641,0.661520264350264,0.0,0.5775193798449613,0.6663078579117331,0.42248062015503873,0.333692142088267,0.0,0.0,0.0,0,0
new_hyperlipidemia,0.1219281663516068,0.5,2116,1816,0.6932335929587716,0.6743026811531925,0.19462245809030299,0.5594713656387665,0.7092511013215859,0.44052863436123346,0.2907488986784141,0.12015503875968993,0.14477933261571582,0.14177693761814744,31,269
new_hyperlipidemia,0.1219281663516068,0.6,2116,1755,0.7017632214085406,0.677567978937842,0.24197686935189125,0.5630630630630631,0.7136333985649054,0.4369369369369369,0.28636660143509457,0.13953488372093023,0.17491926803013993,0.17060491493383742,36,325
new_hyperlipidemia,0.1219281663516068,0.7,2116,1671,0.7111312988438742,0.6821841012841569,0.2950263265493446,0.5518867924528302,0.7169294037011652,0.4481132075471698,0.2830705962988348,0.17829457364341086,0.2147470398277718,0.21030245746691872,46,399
new_hyperlipidemia,0.1219281663516068,0.8,2116,1576,0.7240338577570051,0.6877780332307872,0.3599581946078554,0.5477386934673367,0.7218591140159768,0.45226130653266333,0.27814088598402326,0.22868217054263565,0.2588805166846071,0.2551984877126654,59,481
new_hyperlipidemia,0.1219281663516068,0.9,2116,1430,0.7422252727458885,0.6966328969834946,0.44988150966697543,0.5485714285714286,0.7282868525896414,0.4514285714285714,0.27171314741035857,0.32170542635658916,0.32454251883745966,0.32419659735349715,83,603
new_hyperlipidemia,0.1219281663516068,0.95,2116,1324,0.7588301687809682,0.7053611270478741,0.52130531287289,0.5617283950617284,0.7289156626506024,0.4382716049382716,0.2710843373493976,0.37209302325581395,0.3745963401506997,0.3742911153119093,96,696
new_acutemi,0.05635062611806798,0.0,3354,3354,0.6512817940938004,0.6512817940938004,0.0,0.328042328042328,0.8183254344391785,0.671957671957672,0.18167456556082148,0.0,0.0,0.0,0,0
new_acutemi,0.05635062611806798,0.5,3354,3051,0.6848042299257043,0.6535710164993653,0.21336710215067245,0.30246913580246915,0.8629283489096573,0.6975308641975309,0.13707165109034267,0.14285714285714285,0.08720379146919431,0.09033989266547406,27,276
new_acutemi,0.05635062611806798,0.6,3354,2970,0.6931753832578681,0.6517349837662337,0.26491470030174613,0.3051948051948052,0.8718039772727273,0.6948051948051948,0.12819602272727273,0.18518518518518517,0.11026856240126383,0.11449016100178891,35,349
new_acutemi,0.05635062611806798,0.7,3354,2874,0.7033345410538717,0.6492462819524646,0.3217432734020412,0.31724137931034485,0.8761451080982045,0.6827586206896552,0.12385489190179554,0.2328042328042328,0.1377567140600316,0.14311270125223613,44,436
new_acutemi,0.05635062611806798,0.8,3354,2753,0.7161809952276115,0.657692808966798,0.38874261307120705,0.3120567375886525,0.8820826952526799,0.6879432624113475,0.11791730474732007,0.25396825396825395,0.17472353870458135,0.17918902802623732,48,553
new_acutemi,0.05635062611806798,0.9,3354,2566,0.7342877354376693,0.6629704204877644,0.48246278325267267,0.29457364341085274,0.8879770209273697,0.7054263565891473,0.11202297907263029,0.31746031746031744,0.23001579778830963,0.234943351222421,60,728
new_acutemi,0.05635062611806798,0.95,3354,2374,0.7485720723258041,0.6686699309650129,0.554828355776223,0.2905982905982906,0.8941072219760744,0.7094017094017094,0.10589277802392556,0.38095238095238093,0.2868878357030016,0.29218843172331543,72,908
guo_los,0.2513740237199884,0.0,3457,3457,0.8288795947659642,0.8288795947659642,0.0,0.9102416570771001,0.5479134466769706,0.08975834292289989,0.4520865533230294,0.0,0.0,0.0,0,0
guo_los,0.2513740237199884,0.5,3457,3116,0.867789583846656,0.83182752483752,0.12476233585833883,0.9262394195888755,0.5574486675404107,0.07376058041112454,0.44255133245958933,0.04833141542002301,0.11553323029366307,0.0986404396875904,42,299
guo_los,0.2513740237199884,0.6,3457,3037,0.8762545996283447,0.832999618980303,0.1553429744790064,0.9312883435582822,0.5571557155715572,0.0687116564417178,0.44284428442844287,0.06214039125431531,0.14142194744976816,0.1214926236621348,54,366
guo_los,0.2513740237199884,0.7,3457,2935,0.885954406836885,0.8337908214544378,0.19136120858774586,0.9388264669163545,0.5571696344892221,0.06117353308364544,0.44283036551077787,0.07825086306098965,0.17542503863987635,0.15099797512293897,68,454
guo_los,0.2513740237199884,0.8,3457,2818,0.8972422947155194,0.8374185062083151,0.2365529673112871,0.9433719433719434,0.5595296423321902,0.05662805662805663,0.4404703576678099,0.10586881472957423,0.21136012364760431,0.18484234885739081,92,547
guo_los,0.2513740237199884,0.9,3457,2630,0.91210714950305,0.8409909177983785,0.3022714377946902,0.9489247311827957,0.5625662778366914,0.051075268817204304,0.4374337221633086,0.14384349827387802,0.27125193199381764,0.23922476135377496,125,702
guo_los,0.2513740237199884,0.95,3457,2458,0.923057987930014,0.8407883568605938,0.35693641361475376,0.9500693481276006,0.5693724812895797,0.049930651872399444,0.43062751871042027,0.17031070195627157,0.32882534775888717,0.28897888342493494,148,851
guo_icu,0.041990668740279936,0.0,3215,3215,0.8007936507936508,0.8007936507936508,0.0,0.725925925925926,0.7168831168831169,0.2740740740740741,0.2831168831168831,0.0,0.0,0.0,0,0
