task,tpr_ci,tnr_ci,abstain_rate_ci,tpr_entropy,tnr_entropy,abstain_rate_entropy
guo_icu,0.725925925925926,0.7168831168831169,0.0,0.6412213740458015,0.8005846053913608,0.0015552099533436
guo_icu,0.7295081967213115,0.7676512968299711,0.0986003110419906,0.624,0.8045039164490861,0.0080870917573872
guo_icu,0.75,0.7735011102886751,0.1234836702954898,0.5877192982456141,0.820572569906791,0.0301710730948677
guo_icu,0.7699115044247787,0.7761650114591291,0.1505443234836703,0.53,0.8630952380952381,0.0805598755832037
guo_icu,0.7706422018348624,0.7814490445859873,0.1847589424572317,0.4523809523809524,0.932545731707317,0.1576982892690512
guo_icu,0.780952380952381,0.7873245427477669,0.2360808709175738,0.4406779661016949,0.990342405618964,0.273094867807154
guo_icu,0.7872340425531915,0.7926940639269406,0.2895800933125972,,,
guo_los,0.9102416570771,0.5479134466769706,0.0,0.8354430379746836,0.6572642967542504,0.0
guo_los,0.9262394195888756,0.5574486675404107,0.0986404396875904,0.8354430379746836,0.6572642967542504,0.0
guo_los,0.9312883435582822,0.5571557155715572,0.1214926236621348,0.8358381502890173,0.6603038566419945,0.0072317037894127
guo_los,0.9388264669163544,0.5571696344892221,0.1509979751229389,0.8358395989974937,0.6775,0.0749204512583164
guo_los,0.9433719433719434,0.5595296423321902,0.1848423488573908,0.8454106280193237,0.7209302325581395,0.2481920740526467
guo_los,0.9489247311827956,0.5625662778366914,0.2392247613537749,0.8860294117647058,0.8777777777777778,0.6349435927104425
guo_los,0.9500693481276006,0.5693724812895797,0.2889788834249349,,,
guo_readmission,0.42,0.8947540983606558,0.0,0.6,0.8127868852459016,0.0
guo_readmission,0.40625,0.9164374140302614,0.0550724637681159,0.6,0.8127868852459016,0.0
guo_readmission,0.4069767441860465,0.9186935371785964,0.0660869565217391,0.6,0.8127868852459016,0.0
guo_readmission,0.4085365853658536,0.9238938053097344,0.0860869565217391,0.6,0.8127868852459016,0.0
guo_readmission,0.4174757281553398,0.9291907514450868,0.1081159420289855,0.6,0.8127868852459016,0.0
guo_readmission,0.4290657439446367,0.933705772811918,0.1379710144927536,0.5223880597014925,0.8443460490463215,0.0518840579710144
guo_readmission,0.4327272727272727,0.9376923076923076,0.1666666666666666,,,
lab_anemia,0.9610668921527178,0.7000721240533718,0.0,0.9406896551724138,0.7750955761878755,0.0035431201373415
lab_anemia,0.9695858740787848,0.7127499802387163,0.0409954828262166,0.9414157402635648,0.7725109742152053,0.0084012126967892
lab_anemia,0.9710645973469618,0.7178542510121457,0.0512473974504145,0.943164419192385,0.7666933302860626,0.0203211941897699
lab_anemia,0.9728978851278562,0.7247308238043569,0.0640196758836492,0.9487346241034598,0.7557731234766804,0.0499933033811836
lab_anemia,0.97493481529414,0.7333362225881945,0.0793123181259207,0.9616632821544476,0.7331845389063609,0.1184205720130036
lab_anemia,0.9779820394977212,0.745720823798627,0.1007902010203212,0.9887861177048376,0.7149094878559084,0.2711521837065176
lab_anemia,0.9800399976700388,0.756158583525789,0.1198573011408603,,,
lab_hyperkalemia,0.5691007845503923,0.7526385452034299,0.0,0.5377187688593844,0.7819330777996478,9.03526010255229e-05
lab_hyperkalemia,0.5352313167259787,0.8293461990805089,0.1390639470533758,0.5363196125907991,0.782122133185963,0.0003839985543583
