task_name,n_train,n_val,n_test,e_v_threshold,n_keep,abstain_rate,roc_auc,accuracy,brier_score,ece,mce,precision,recall,f1_score,specificity,sensitivity,predictive_entropy_mean,aleatoric_entropy_mean,epistemic_uncertainty_mean
lab_hyperkalemia,121632,30409,48129,0.01,44857,0.06798395977477201,0.6974153480040726,0.810174554696034,0.022562782497514526,0.009583400840741418,0.38325774151345954,0.05172413793103448,0.4206426484907498,0.09212069517006077,0.8193018480492813,0.4206426484907498,0.080115445,0.07785281,0.0022626438
lab_hyperkalemia,121632,30409,48129,0.02,48014,0.0023894117891499755,0.7220811558812373,0.7622568417544883,0.026822526346538898,0.015399386590109199,0.3159664952477743,0.05986619167607959,0.5366043613707165,0.10771515672633472,0.7684570939439332,0.5366043613707165,0.10477673,0.10180511,0.0029716103
lab_hyperkalemia,121632,30409,48129,0.03,48126,6.233248145603998e-05,0.7240761296321241,0.7608153596808378,0.027124159948435044,0.015745778677890867,0.2998173020102762,0.060666035625161346,0.5423076923076923,0.10912468075226375,0.7668816469482767,0.5423076923076923,0.10590969,0.10289331,0.0030163762
lab_hyperkalemia,121632,30409,48129,0.04,48129,0.0,0.7240362480842739,0.760767936171539,0.02713060717748567,0.015766609514838787,0.2998173020102762,0.060650378527185134,0.5423076923076923,0.10909935004642525,0.7668325183113028,0.5423076923076923,0.10594235,0.102924086,0.0030182702
lab_hyperkalemia,121632,30409,48129,0.05,48129,0.0,0.7240362480842739,0.760767936171539,0.02713060717748567,0.015766609514838787,0.2998173020102762,0.060650378527185134,0.5423076923076923,0.10909935004642525,0.7668325183113028,0.5423076923076923,0.10594235,0.102924086,0.0030182702
lab_hyperkalemia,121632,30409,48129,0.06,48129,0.0,0.7240362480842739,0.760767936171539,0.02713060717748567,0.015766609514838787,0.2998173020102762,0.060650378527185134,0.5423076923076923,0.10909935004642525,0.7668325183113028,0.5423076923076923,0.10594235,0.102924086,0.0030182702
lab_hyponatremia,127556,31889,53392,0.01,14216,0.7337428828288882,0.8551563238007306,0.8752813731007316,0.09675992198561295,0.054588737015517565,0.37191369690870874,0.6222403924775143,0.6419232391396036,0.6319285862570064,0.9219924018573238,0.6419232391396036,0.24389443,0.2378947,0.005999712
lab_hyponatremia,127556,31889,53392,0.02,36281,0.3204787234042553,0.7936502764169279,0.749813952206389,0.1491274133154124,0.10010510627038127,0.2935903196323307,0.4415483870967742,0.6650686706400621,0.5307346326836582,0.7727129503203445,0.6650686706400621,0.4078647,0.3964783,0.011386432
lab_hyponatremia,127556,31889,53392,0.03,48658,0.08866496853461192,0.770119444545806,0.695795141600559,0.1678110105349616,0.1121095388207778,0.2796382937620996,0.411731324803962,0.7013181019332162,0.5188532050448577,0.6941091260260743,0.7013181019332162,0.45842066,0.443754,0.014666631
lab_hyponatremia,127556,31889,53392,0.04,52594,0.01494605933473181,0.7635644738271061,0.6793360459367989,0.171882732520392,0.1171108642884496,0.27501367566502266,0.401512423478574,0.7142285210985667,0.5140469672957787,0.6684702655529235,0.7142285210985667,0.4721154,0.45601678,0.016098695
lab_hyponatremia,127556,31889,53392,0.05,53314,0.0014608930176805979,0.7620703993326283,0.6753573170274224,0.17265091044312755,0.1183932574453503,0.27543697087154123,0.39842174484875054,0.7170585450528641,0.5122308646150378,0.6623523622047244,0.7170585450528641,0.4746911,0.45822296,0.016468162
lab_hyponatremia,127556,31889,53392,0.06,53390,3.74587953251293e-05,0.7619442889343694,0.6750515077729912,0.1727289690500856,0.118411697870695,0.27543697087154123,0.3983562122934336,0.7175368139223561,0.5122986534731397,0.661792533975572,0.7175368139223561,0.47496703,0.45844692,0.016520085
new_hypertension,2457,615,692,0.01,603,0.12861271676300579,0.7299295774647887,0.8059701492537313,0.05430525708413494,0.01875574212169172,0.4169125258922577,0.14035087719298245,0.45714285714285713,0.21476510067114093,0.8274647887323944,0.45714285714285713,0.19348228,0.18954109,0.003941178
new_hypertension,2457,615,692,0.02,692,0.0,0.7604202949030535,0.7312138728323699,0.06979104536483954,0.02774704363993827,0.3592570781707764,0.17326732673267325,0.6481481481481481,0.2734375,0.7382445141065831,0.6481481481481481,0.24102084,0.23593761,0.005083245
new_hypertension,2457,615,692,0.03,692,0.0,0.7604202949030535,0.7312138728323699,0.06979104536483954,0.02774704363993827,0.3592570781707764,0.17326732673267325,0.6481481481481481,0.2734375,0.7382445141065831,0.6481481481481481,0.24102084,0.23593761,0.005083245
new_hypertension,2457,615,692,0.04,692,0.0,0.7604202949030535,0.7312138728323699,0.06979104536483954,0.02774704363993827,0.3592570781707764,0.17326732673267325,0.6481481481481481,0.2734375,0.7382445141065831,0.6481481481481481,0.24102084,0.23593761,0.005083245
new_hypertension,2457,615,692,0.05,692,0.0,0.7604202949030535,0.7312138728323699,0.06979104536483954,0.02774704363993827,0.3592570781707764,0.17326732673267325,0.6481481481481481,0.2734375,0.7382445141065831,0.6481481481481481,0.24102084,0.23593761,0.005083245
new_hypertension,2457,615,692,0.06,692,0.0,0.7604202949030535,0.7312138728323699,0.06979104536483954,0.02774704363993827,0.3592570781707764,0.17326732673267325,0.6481481481481481,0.2734375,0.7382445141065831,0.6481481481481481,0.24102084,0.23593761,0.005083245
lab_hypoglycemia,166059,41515,110590,0.01,109153,0.012993941586038504,0.7614270302123116,0.8793070277500389,0.011598135728663054,0.009164012451621309,0.22603145241737366,0.042484414684830295,0.42957198443579764,0.0773217537470234,0.884664590054511,0.42957198443579764,0.014341239,0.013720706,0.0006205336
lab_hypoglycemia,166059,41515,110590,0.02,110272,0.0028754860294782913,0.7783761468878183,0.8716627974463146,0.012624671895002508,0.009500648333402958,0.5496413707733154,0.049107142857142856,0.48597475455820477,0.08920066932681169,0.876715726806681,0.48597475455820477,0.017440222,0.016688563,0.00075166114
lab_hypoglycemia,166059,41515,110590,0.03,110512,0.0007053078940230106,0.7846940099454999,0.8702312871000434,0.012973185457887722,0.00952254983067806,0.4294203758239746,0.051839464882943144,0.5037237643872715,0.09400467496367428,0.8751960379694593,0.5037237643872715,0.018487636,0.017684909,0.00080272905
lab_hypoglycemia,166059,41515,110590,0.04,110577,0.00011755131567048327,0.7862005376781034,0.8698373079392641,0.013087026706845436,0.00959530855118444,0.48655360085623606,0.052507456474994794,0.5080536912751678,0.09517822342364997,0.8747788462419903,0.5080536912751678,0.018826246,0.018003948,0.00082229835
lab_hypoglycemia,166059,41515,110590,0.05,110586,3.616963559094355e-05,0.7862878417825038,0.8697755592932197,0.013096018734165934,0.009609736980658106,0.48655360085623606,0.052544017745736867,0.5083836351441985,0.09524407865803858,0.8747146981988175,0.5083836351441985,0.018872954,0.018047221,0.00082573463
lab_hypoglycemia,166059,41515,110590,0.06,110590,0.0,0.7865597198842712,0.8697621846459896,0.013103290919194342,0.009605168655968799,0.48655360085623606,0.05266805266805267,0.5090421969189551,0.09545939835458142,0.8746986626580016,0.5090421969189551,0.018895425,0.018067762,0.000827662
guo_readmission,4564,1142,1297,0.01,1239,0.044718581341557484,0.7623882760286658,0.8167877320419693,0.07929400186168868,0.05891706697684898,0.5450701117515564,0.2572614107883817,0.5636363636363636,0.35327635327635326,0.8414526129317981,0.5636363636363636,0.11607601,0.11368266,0.002393356
guo_readmission,4564,1142,1297,0.02,1296,0.0007710100231302919,0.7975561081944061,0.8047839506172839,0.08980142012076821,0.06719502599702941,0.7251238226890564,0.31208053691275167,0.6595744680851063,0.42369020501138954,0.8225108225108225,0.6595744680851063,0.13633287,0.13349305,0.002839819
guo_readmission,4564,1142,1297,0.03,1297,0.0,0.7989573806475215,0.8049344641480339,0.08998214690134494,0.06758222284919957,0.7251238226890564,0.31438127090301005,0.6619718309859155,0.42630385487528344,0.8225108225108225,0.6619718309859155,0.13675472,0.13390094,0.0028537828
guo_readmission,4564,1142,1297,0.04,1297,0.0,0.7989573806475215,0.8049344641480339,0.08998214690134494,0.06758222284919957,0.7251238226890564,0.31438127090301005,0.6619718309859155,0.42630385487528344,0.8225108225108225,0.6619718309859155,0.13675472,0.13390094,0.0028537828
guo_readmission,4564,1142,1297,0.05,1297,0.0,0.7989573806475215,0.8049344641480339,0.08998214690134494,0.06758222284919957,0.7251238226890564,0.31438127090301005,0.6619718309859155,0.42630385487528344,0.8225108225108225,0.6619718309859155,0.13675472,0.13390094,0.0028537828
guo_readmission,4564,1142,1297,0.06,1297,0.0,0.7989573806475215,0.8049344641480339,0.08998214690134494,0.06758222284919957,0.7251238226890564,0.31438127090301005,0.6619718309859155,0.42630385487528344,0.8225108225108225,0.6619718309859155,0.13675472,0.13390094,0.0028537828
lab_thrombocytopenia,110032,27508,42078,0.01,12350,0.7064974571034746,0.92768251121432,0.891336032388664,0.10324476137397819,0.08415231343705644,0.2554898262023926,0.8193832599118943,0.9257569473247615,0.8693281402142161,0.869287991498406,0.9257569473247615,0.109816924,0.105447985,0.004368945
lab_thrombocytopenia,110032,27508,42078,0.02,22174,0.47302628451922624,0.8948785091670997,0.8355731938306125,0.13888980927168115,0.10991930297124888,0.4030109546802662,0.7064498037016265,0.8595605295482462,0.7755202561260929,0.8237354347679666,0.8595605295482462,0.22513498,0.2160463,0.009088674
