task_name,remove_rate,abstention_rate,n_remaining,tpr,tnr,fpr,fnr,method
lab_hyperkalemia,0.0,0.0,48129,0.5423076923076923,0.7668325183113028,0.23316748168869716,0.4576923076923077,entropy
lab_hyperkalemia,0.05,0.05001142762160027,45722,0.44907407407407407,0.8043994444693338,0.1956005555306662,0.5509259259259259,entropy
lab_hyperkalemia,0.1,0.10000207774938186,43316,0.36769394261424015,0.847433628318584,0.15256637168141593,0.6323060573857598,entropy
lab_hyperkalemia,0.2,0.2000041554987637,38503,0.15261627906976744,0.9396535766230332,0.060346423376966815,0.8473837209302325,entropy
lab_hyperkalemia,0.3,0.30000623324814557,33690,0.026615969581749048,0.9936678325895549,0.006332167410445061,0.973384030418251,entropy
lab_hyperkalemia,0.4,0.4000083109975274,28877,0.0,0.9999297802120638,7.021978793624044e-05,1.0,entropy
lab_hyperkalemia,0.5,0.5000103887469094,24064,0.0,0.9999579637647652,4.203623523477237e-05,1.0,entropy
lab_hyponatremia,0.0,0.0,53392,0.7175368139223561,0.6617600078637603,0.3382399921362397,0.2824631860776439,entropy
lab_hyponatremia,0.05,0.05000749175906505,50722,0.7083194119612429,0.6812903225806451,0.31870967741935485,0.2916805880387571,entropy
lab_hyponatremia,0.1,0.1000149835181301,48052,0.6996693771780895,0.6978649521174141,0.30213504788258594,0.3003306228219105,entropy
lab_hyponatremia,0.2,0.20001123763859752,42713,0.6828808051158403,0.7291553626333875,0.2708446373666124,0.31711919488415974,entropy
lab_hyponatremia,0.3,0.30000749175906505,37374,0.6690773067331671,0.7650064727124072,0.23499352728759285,0.33092269326683293,entropy
lab_hyponatremia,0.4,0.40000374587953247,32035,0.6518451300665457,0.8010462966605043,0.19895370333949572,0.34815486993345435,entropy
lab_hyponatremia,0.5,0.5,26696,0.6424312367763031,0.8382099827882961,0.16179001721170397,0.35756876322369685,entropy
new_hypertension,0.0,0.0,692,0.6481481481481481,0.7382445141065831,0.2617554858934169,0.35185185185185186,entropy
new_hypertension,0.05,0.050578034682080886,657,0.5581395348837209,0.7671009771986971,0.23289902280130292,0.4418604651162791,entropy
new_hypertension,0.1,0.10115606936416188,622,0.4864864864864865,0.8034188034188035,0.19658119658119658,0.5135135135135135,entropy
new_hypertension,0.2,0.20086705202312138,553,0.34615384615384615,0.8842504743833017,0.1157495256166983,0.6538461538461539,entropy
new_hypertension,0.3,0.3005780346820809,484,0.23809523809523808,0.9460043196544277,0.05399568034557235,0.7619047619047619,entropy
new_hypertension,0.4,0.4002890173410405,415,0.13333333333333333,0.98,0.02,0.8666666666666667,entropy
new_hypertension,0.5,0.5,346,0.18181818181818182,0.9940298507462687,0.005970149253731343,0.8181818181818182,entropy
lab_hypoglycemia,0.0,0.0,110590,0.5090421969189551,0.8746986626580016,0.12530133734199841,0.49095780308104486,entropy
lab_hypoglycemia,0.05,0.05000452120444887,105060,0.2883495145631068,0.9173027011439008,0.08269729885609921,0.7116504854368932,entropy
lab_hypoglycemia,0.1,0.09999999999999998,99531,0.11300121506682867,0.9651699963528791,0.0348300036471208,0.8869987849331713,entropy
lab_hypoglycemia,0.2,0.19999999999999996,88472,0.0,0.9999317336246032,6.826637539679831e-05,1.0,entropy
lab_hypoglycemia,0.3,0.30000000000000004,77413,0.0,0.9999870133243293,1.2986675670761798e-05,1.0,entropy
lab_hypoglycemia,0.4,0.4,66354,0.0,0.9999848638503338,1.51361496662479e-05,1.0,entropy
lab_hypoglycemia,0.5,0.5,55295,0.0,0.9999818505208901,1.8149479109949544e-05,1.0,entropy
guo_readmission,0.0,0.0,1297,0.6619718309859155,0.8225108225108225,0.1774891774891775,0.3380281690140845,entropy
guo_readmission,0.05,0.05011565150346953,1232,0.5636363636363636,0.8467023172905526,0.1532976827094474,0.43636363636363634,entropy
guo_readmission,0.1,0.10023130300693905,1167,0.4606741573033708,0.8812615955473099,0.11873840445269017,0.5393258426966292,entropy
guo_readmission,0.2,0.20046260601387822,1037,0.16363636363636364,0.9643584521384929,0.035641547861507125,0.8363636363636363,entropy
guo_readmission,0.3,0.3006939090208173,907,0.0,0.997698504027618,0.0023014959723820483,1.0,entropy
guo_readmission,0.4,0.40015420200462604,778,0.0,1.0,0.0,1.0,entropy
guo_readmission,0.5,0.5003855050115651,648,0.0,1.0,0.0,1.0,entropy
lab_thrombocytopenia,0.0,0.0,42078,0.7874688796680498,0.6876581856933529,0.31234181430664715,0.2125311203319502,entropy
lab_thrombocytopenia,0.05,0.0500023765388089,39974,0.7911452489859325,0.7034205798428859,0.2965794201571142,0.2088547510140675,entropy
lab_thrombocytopenia,0.1,0.1000047530776178,37870,0.7960490709002346,0.7171818996415771,0.2828181003584229,0.20395092909976548,entropy
lab_thrombocytopenia,0.2,0.2000095061552355,33662,0.8070349761526232,0.7469700822103568,0.2530299177896432,0.1929650238473768,entropy
lab_thrombocytopenia,0.3,0.3000142592328533,29454,0.8207837956847204,0.7748649975454099,0.2251350024545901,0.17921620431527963,entropy
lab_thrombocytopenia,0.4,0.400019012310471,25246,0.8407935523868568,0.8049007624701705,0.19509923752982947,0.1592064476131432,entropy
lab_thrombocytopenia,0.5,0.5,21039,0.8652673379662459,0.8304260794967114,0.16957392050328854,0.13473266203375409,entropy
lab_anemia,0.0,0.0,43509,0.942358136600591,0.8211618876941458,0.17883811230585425,0.05764186339940897,entropy
lab_anemia,0.05,0.05001264106276859,41333,0.9494854691113868,0.8015652173913044,0.19843478260869565,0.05051453088861328,entropy
lab_anemia,0.1,0.10000229837504881,39158,0.9591662977216224,0.7933639612046963,0.20663603879530373,0.04083370227837755,entropy
lab_anemia,0.2,0.20000459675009763,34807,0.9784685583915586,0.7881569207994078,0.21184307920059214,0.021531441608441466,entropy
lab_anemia,0.3,0.30000689512514656,30456,0.9934822381460588,0.8130331753554503,0.18696682464454975,0.00651776185394115,entropy
lab_anemia,0.4,0.40000919350019537,26105,0.9995395755723913,0.8550135501355014,0.14498644986449866,0.000460424427608723,entropy
lab_anemia,0.5,0.5000114918752442,21754,0.9999520958083832,0.8623435722411832,0.13765642775881684,4.790419161676647e-05,entropy
new_hyperlipidemia,0.0,0.0,680,0.5068493150684932,0.7100494233937397,0.2899505766062603,0.4931506849315068,entropy
new_hyperlipidemia,0.05,0.050000000000000044,646,0.47058823529411764,0.745674740484429,0.25432525951557095,0.5294117647058824,entropy
new_hyperlipidemia,0.1,0.09999999999999998,612,0.4,0.7807971014492754,0.21920289855072464,0.6,entropy
new_hyperlipidemia,0.2,0.19999999999999996,544,0.2653061224489796,0.8686868686868687,0.13131313131313133,0.7346938775510204,entropy
new_hyperlipidemia,0.3,0.30147058823529416,475,0.17073170731707318,0.9470046082949308,0.052995391705069124,0.8292682926829268,entropy
new_hyperlipidemia,0.4,0.4,408,0.08823529411764706,0.9759358288770054,0.02406417112299465,0.9117647058823529,entropy
