task,tpr_ci,tnr_ci,abstain_rate_ci,tpr_entropy,tnr_entropy,abstain_rate_entropy
guo_icu,1.0,0.3103448275862069,0.0,0.5454545454545454,0.7425287356321839,0.0
guo_icu,1.0,0.3279279279279279,0.148176291793313,0.5454545454545454,0.7425287356321839,0.0
guo_icu,1.0,0.3191690273843248,0.1869300911854103,0.5454545454545454,0.7425287356321839,0.0
guo_icu,1.0,0.3047808764940239,0.2287234042553191,0.5454545454545454,0.7430981595092024,0.0007598784194529
guo_icu,1.0,0.2802139037433155,0.2811550151975684,0.5,0.7582159624413145,0.0212765957446808
guo_icu,1.0,0.2413381123058542,0.3556231003039514,0.2857142857142857,0.8633093525179856,0.1496960486322188
guo_icu,1.0,0.2123197903014416,0.411854103343465,,,
guo_los,0.7453580901856764,0.7419354838709677,0.0,0.7400530503978779,0.7460978147762747,0.0
guo_los,0.7580174927113703,0.7609427609427609,0.077727952167414,0.7400530503978779,0.7460978147762747,0.0
guo_los,0.7666666666666667,0.7626146788990825,0.1016442451420029,0.7400530503978779,0.7460978147762747,0.0
guo_los,0.7767295597484277,0.765807962529274,0.1240657698056801,0.7400530503978779,0.7460978147762747,0.0
guo_los,0.7927631578947368,0.7806060606060606,0.156203288490284,0.7346368715083799,0.7777777777777778,0.046337817638266
guo_los,0.8027681660899654,0.7937743190661478,0.2077727952167414,0.7215909090909091,0.9109062980030722,0.3819133034379671
guo_los,0.8158844765342961,0.8051075268817204,0.2369207772795216,,,
guo_readmission,0.4084507042253521,0.9134199134199136,0.0,0.6619718309859155,0.8225108225108225,0.0
guo_readmission,0.392,0.9386281588447654,0.0493446414803392,0.6619718309859155,0.8225108225108225,0.0
guo_readmission,0.3983739837398374,0.9427272727272727,0.0570547417116422,0.6619718309859155,0.8225108225108225,0.0
guo_readmission,0.3898305084745763,0.9466421343146274,0.0709329221279876,0.6619718309859155,0.8225108225108225,0.0
guo_readmission,0.4074074074074074,0.9486940298507462,0.0902081727062451,0.6595744680851063,0.8225108225108225,0.0007710100231302
guo_readmission,0.3823529411764705,0.9587332053742802,0.117964533538936,0.5636363636363636,0.8414526129317981,0.0447185813415574
guo_readmission,0.3870967741935484,0.9609756097560976,0.1380107941403238,,,
lab_anemia,0.960055782448451,0.7593339307048984,0.0,0.942358136600591,0.8211351755041075,4.5967500976851206e-05
lab_anemia,0.9665174815762022,0.7724484104852203,0.0285228343561102,0.942358136600591,0.8209747346389595,0.0003217725068376
lab_anemia,0.9675677499915628,0.777130842633026,0.0347514307384679,0.942420720571144,0.8205262763325587,0.0012641062768622
lab_anemia,0.9690358425367572,0.7830561501728964,0.0424050196511066,0.9426673310081382,0.8187405159332322,0.0051483601094026
lab_anemia,0.970931617822254,0.7883045856121161,0.0515985198464685,0.9449144075134884,0.8106532502795081,0.0220873842193569
lab_anemia,0.9736417613343858,0.798430004361099,0.0668137626697924,0.9602334789732386,0.7933875677930746,0.1062998460088717
lab_anemia,0.9751951910453948,0.8069780021637216,0.0797765979452527,,,
lab_hyperkalemia,0.5838461538461538,0.7321317986717633,0.0,0.5423076923076923,0.7668325183113028,0.0
lab_hyperkalemia,0.5664028144239226,0.7792801371167397,0.1035550291923788,0.5423076923076923,0.7668325183113028,0.0
lab_hyperkalemia,0.5693430656934306,0.7848855748240084,0.1301502212803091,0.5423076923076923,0.7668325183113028,0.0
lab_hyperkalemia,0.5726415094339623,0.7913142857142857,0.1598620374410438,0.5423076923076923,0.7668816469482767,6.233248145603998e-05
lab_hyperkalemia,0.5811881188118811,0.7972182330727089,0.1977394086725259,0.5366043613707165,0.7684570939439332,0.0023894117891499
lab_hyperkalemia,0.5918367346938775,0.8057232794391186,0.2545866317604771,0.4206426484907498,0.8193018480492813,0.067983959774772
lab_hyperkalemia,0.607728337236534,0.8114992499158069,0.3036007396787799,,,
lab_hypoglycemia,0.3596784996651038,0.9386417591684464,0.0,0.5090421969189551,0.8746986626580016,0.0
lab_hypoglycemia,0.3046815042210284,0.9618369188393407,0.0361877204087168,0.5083836351441985,0.8747146981988175,3.616963559094355e-05
lab_hypoglycemia,0.300395256916996,0.9641452983256938,0.0456008680712541,0.5080536912751678,0.8747788462419903,0.0001175513156704
lab_hypoglycemia,0.2938271604938272,0.966891531181752,0.0574192965005877,0.5037237643872715,0.8751960379694593,0.000705307894023
lab_hypoglycemia,0.2862098872506505,0.970101436274558,0.0722850167284564,0.4859747545582047,0.876715726806681,0.0028754860294782
lab_hypoglycemia,0.2836676217765043,0.9735816195307676,0.0975314223709196,0.4295719844357976,0.884664590054511,0.0129939415860385
lab_hypoglycemia,0.2789743589743589,0.9761275417820052,0.1222624107062121,,,
lab_hyponatremia,0.827466729663753,0.5093996510456343,0.0,0.7175368139223561,0.661792533975572,3.74587953251293e-05
lab_hyponatremia,0.8538130002638754,0.5274641035468939,0.1518204974528019,0.7170585450528641,0.6623523622047244,0.0014608930176805
lab_hyponatremia,0.8624660018132366,0.5264412657130473,0.1884926580761162,0.7142285210985667,0.6684702655529235,0.0149460593347318
lab_hyponatremia,0.8700065795657487,0.526911345075273,0.2296973329337728,0.7013181019332162,0.6941091260260743,0.0886649685346119
lab_hyponatremia,0.8820754716981132,0.5268009075439591,0.2810908001198681,0.6650686706400621,0.7727129503203445,0.3204787234042553
lab_hyponatremia,0.8982478361832383,0.5243483128098513,0.3540979922085706,0.6419232391396036,0.9219924018573238,0.7337428828288882
lab_hyponatremia,0.9108344549125168,0.5243407255365669,0.4132641594246329,,,
lab_thrombocytopenia,0.86149377593361,0.5547822032769415,0.0,0.7888599949668652,0.692656975365118,0.0153524407053566
lab_thrombocytopenia,0.8795718108831401,0.5760415446487838,0.1249346451827558,0.790869939707149,0.7024352586146396,0.0468178145349114
lab_thrombocytopenia,0.8873290793072015,0.5779432104792124,0.1550929226674271,0.798364120944766,0.7228098413428374,0.1212747754170825
lab_thrombocytopenia,0.8944035757519322,0.5797448848557486,0.1895765007842578,0.8149602122015915,0.7645555503926398,0.2645563002043823
lab_thrombocytopenia,0.901793420926441,0.5820505772402419,0.2334474071961595,0.8595605295482462,0.8237354347679666,0.4730262845192262
lab_thrombocytopenia,0.91500451037386,0.5854404567699837,0.2967108702885118,0.9257569473247615,0.869287991498406,0.7064974571034746
lab_thrombocytopenia,0.9226697114386548,0.5867958337999776,0.3466419506630543,,,
new_acutemi,0.4831460674157303,0.8644207066557108,0.0,0.5955056179775281,0.7452752670501233,0.0
new_acutemi,0.4430379746835443,0.8983050847457628,0.0811638591117917,0.5955056179775281,0.7452752670501233,0.0
new_acutemi,0.4246575342465753,0.9037238873751136,0.1010719754977029,0.5955056179775281,0.7452752670501233,0.0
new_acutemi,0.4347826086956521,0.9154135338345863,0.1324655436447167,0.5955056179775281,0.7452752670501233,0.0
new_acutemi,0.4153846153846154,0.9219512195121952,0.1653905053598774,0.5955056179775281,0.7483498349834984,0.0038284839203674
new_acutemi,0.4,0.9266247379454928,0.2274119448698315,0.4929577464788732,0.776541095890411,0.0513016845329249
new_acutemi,0.3877551020408163,0.9319955406911928,0.2756508422664624,,,
new_celiac,0.4444444444444444,0.8066666666666666,0.0,0.4444444444444444,0.7955555555555556,0.0
new_celiac,0.4285714285714285,0.8638613861386139,0.1030169242089771,0.4444444444444444,0.7955555555555556,0.0
new_celiac,0.5,0.8701964133219471,0.1339220014716703,0.4444444444444444,0.7955555555555556,0.0
new_celiac,0.5,0.8732517482517482,0.1537895511405445,0.4444444444444444,0.7955555555555556,0.0
new_celiac,0.5,0.8845798707294552,0.1986754966887417,0.4444444444444444,0.7955555555555556,0.0
new_celiac,0.5,0.8883299798792756,0.2641648270787343,0.4444444444444444,0.7973273942093542,0.0022075055187638
new_celiac,0.4,0.9005524861878453,0.3303899926416482,,,
new_hyperlipidemia,0.5342465753424658,0.6639209225700164,0.0,0.5068493150684932,0.7100494233937397,0.0
new_hyperlipidemia,0.492063492063492,0.720558882235529,0.1705882352941176,0.5068493150684932,0.7100494233937397,0.0
new_hyperlipidemia,0.5172413793103449,0.7182203389830508,0.2205882352941176,0.5,0.7183333333333334,0.0117647058823529
new_hyperlipidemia,0.5087719298245614,0.7299771167048055,0.2735294117647059,0.4193548387096774,0.7614840989399293,0.076470588235294
new_hyperlipidemia,0.5185185185185185,0.7385786802030457,0.3411764705882353,0.2340425531914893,0.902335456475584,0.2382352941176471
new_hyperlipidemia,0.4680851063829787,0.7337461300309598,0.4558823529411764,0.0689655172413793,0.9896193771626296,0.5323529411764706
new_hyperlipidemia,0.5135135135135135,0.7372262773722628,0.5426470588235294,,,
new_hypertension,0.7037037037037037,0.6802507836990596,0.0,0.6481481481481481,0.7382445141065831,0.0
new_hypertension,0.6808510638297872,0.7225225225225225,0.130057803468208,0.6481481481481481,0.7382445141065831,0.0
new_hypertension,0.6818181818181818,0.725417439703154,0.157514450867052,0.6481481481481481,0.7382445141065831,0.0
new_hypertension,0.6904761904761905,0.7422480620155039,0.1936416184971098,0.6481481481481481,0.7382445141065831,0.0
new_hypertension,0.7,0.7484536082474227,0.2413294797687861,0.6481481481481481,0.7382445141065831,0.0
new_hypertension,0.7297297297297297,0.7528344671201814,0.3092485549132948,0.4571428571428571,0.8274647887323944,0.1286127167630057
new_hypertension,0.7878787878787878,0.743142144638404,0.3728323699421965,,,
new_lupus,0.3478260869565217,0.899625468164794,0.0,0.4347826086956521,0.8397003745318352,0.0
new_lupus,0.25,0.9269261318506752,0.0581737849779086,0.4347826086956521,0.8397003745318352,0.0
new_lupus,0.25,0.9289749798224376,0.072901325478645,0.4347826086956521,0.8397003745318352,0.0
new_lupus,0.2105263157894736,0.9358552631578948,0.0905743740795287,0.4347826086956521,0.8397003745318352,0.0
new_lupus,0.25,0.9401349072512648,0.1148748159057437,0.4347826086956521,0.8397003745318352,0.0
new_lupus,0.2142857142857142,0.9454225352112676,0.1531664212076583,0.4090909090909091,0.8434913468773514,0.0051546391752577
new_lupus,0.25,0.9507434944237918,0.198821796759941,,,
new_pancan,0.5227272727272727,0.9422632794457276,0.0,0.6590909090909091,0.8737490377213241,0.0
new_pancan,0.4864864864864865,0.9609872611464968,0.0372300819061801,0.6590909090909091,0.8737490377213241,0.0
new_pancan,0.5,0.9627228525121556,0.0558451228592702,0.6511627906976745,0.8737490377213241,0.0007446016381236
new_pancan,0.5,0.9653179190751444,0.0744601638123603,0.6153846153846154,0.8757716049382716,0.0059568131049888
new_pancan,0.4827586206896552,0.9688289806234204,0.0945644080416976,0.5714285714285714,0.8805275407292474,0.0141474311243484
new_pancan,0.5,0.9704861111111112,0.1228592702903946,0.4,0.8993660855784469,0.0416976917349217
new_pancan,0.5,0.9723707664884136,0.1481757259865971,,,
