task_name,threshold_mean_label,ci_width,n_test,n_confident,uauc,roc_auc_confident,ar_uauc,tpr,tnr,fnr,fpr,positive_abstain_rate,negative_abstain_rate,overall_abstain_rate,abstained_true_positives,abstained_true_negatives
lab_hyperkalemia,0.027010741964304266,0.0,48129,48129,0.7240362664847938,0.7240362480842739,8.213188080364403e-08,0.5838461538461538,0.7321317986717633,0.41615384615384615,0.2678682013282368,0.0,0.0,0.0,0,0
lab_hyperkalemia,0.027010741964304266,0.5,48129,43145,0.7601534713313464,0.7374778845994405,0.1592320012089813,0.5664028144239226,0.7792801371167397,0.4335971855760774,0.22071986288326034,0.12538461538461537,0.10294902731213565,0.10355502919237881,163,4821
lab_hyperkalemia,0.027010741964304266,0.6,48129,41865,0.768997713113817,0.740957129298721,0.1977682632556749,0.5693430656934306,0.7848855748240084,0.4306569343065693,0.21511442517599155,0.15692307692307692,0.12940699139422152,0.13015022128030918,204,6060
lab_hyperkalemia,0.027010741964304266,0.7,48129,40435,0.7794168472883282,0.7455129679544774,0.2419778835271372,0.5726415094339623,0.7913142857142857,0.42735849056603775,0.20868571428571428,0.18461538461538463,0.15917487027269428,0.15986203744104385,240,7454
lab_hyperkalemia,0.027010741964304266,0.8,48129,38612,0.7924023950218579,0.7511485590875986,0.2966200759884161,0.5811881188118811,0.7972182330727089,0.4188118811881188,0.2027817669272911,0.2230769230769231,0.1970360246855581,0.19773940867252593,290,9227
lab_hyperkalemia,0.027010741964304266,0.9,48129,35876,0.8110122647578659,0.7599942152460233,0.37375096299630245,0.5918367346938775,0.8057232794391186,0.40816326530612246,0.19427672056088138,0.28384615384615386,0.2537743705823315,0.2545866317604771,369,11884
lab_hyperkalemia,0.027010741964304266,0.95,48129,33517,0.8259305238775628,0.7676416052339478,0.435948516451837,0.607728337236534,0.8114992499158069,0.39227166276346603,0.18850075008419312,0.34307692307692306,0.30250485810074956,0.30360073967877993,446,14166
lab_hyponatremia,0.23784462091699132,0.0,53392,53392,0.7619400264754425,0.7619400183652227,3.0962124387366235e-08,0.827466729663753,0.5093996510456343,0.17253327033624694,0.4906003489543656,0.0,0.0,0.0,0,0
lab_hyponatremia,0.23784462091699132,0.5,53392,45286,0.8066159496748754,0.776705497608543,0.1737802950526742,0.8538130002638754,0.5274641035468939,0.14618699973612456,0.4725358964531061,0.1047326561146547,0.16651512545155187,0.1518204974528019,1330,6776
lab_hyponatremia,0.23784462091699132,0.6,53392,43328,0.8172001855571321,0.780367149258882,0.21619028371111257,0.8624660018132366,0.5264412657130473,0.13753399818676337,0.4735587342869528,0.1314276714701945,0.2063008379819625,0.18849265807611626,1669,8395
