task_name,threshold_mean_preds,ci_width,n_test,n_confident,uauc,roc_auc_confident,ar_uauc,tpr,tnr,fnr,fpr,positive_abstain_rate,negative_abstain_rate,overall_abstain_rate,abstained_true_positives,abstained_true_negatives
lab_hyperkalemia,0.016695807,0.0,88542,88542,0.7417283018176998,0.7417282967805897,2.083789958278705e-08,0.5509957754978877,0.7988375438798412,0.44900422450211225,0.20116245612015882,0.0,0.0,0.0,0,0
lab_hyperkalemia,0.016695807,0.5,88542,77887,0.7946754852965039,0.753809227608371,0.21703486482749745,0.5032444124008651,0.8685490196078431,0.4967555875991348,0.13145098039215686,0.16294508147254075,0.11952580997870749,0.12033837049084051,270,10385
lab_hyperkalemia,0.016695807,0.6,88542,75146,0.8073001075616217,0.7570631659745025,0.26864388929115685,0.5052950075642966,0.8751354573038578,0.4947049924357035,0.12486454269614218,0.20217260108630053,0.1503251424296484,0.15129543041720314,335,13061
lab_hyperkalemia,0.016695807,0.7,88542,71914,0.8215582006017876,0.7619173936163524,0.3272016031012907,0.5099601593625498,0.8819400217948173,0.4900398406374502,0.11805997820518264,0.24260712130356066,0.18675260401680382,0.18779788123150595,402,16226
lab_hyperkalemia,0.016695807,0.8,88542,67647,0.8387820803173633,0.7691138387381988,0.398104285977389,0.5191815856777494,0.889701236573698,0.48081841432225064,0.11029876342630202,0.292094146047073,0.23491972147090984,0.23598969980348308,484,20411
lab_hyperkalemia,0.016695807,0.9,88542,61200,0.8623303419481634,0.7787014595693535,0.4951885324593177,0.5336538461538461,0.8995678191489361,0.46634615384615385,0.10043218085106383,0.3723596861798431,0.3075904931806411,0.3088026021549095,617,26725
lab_hyperkalemia,0.016695807,0.95,88542,55596,0.8797993696243496,0.7873731157999158,0.5711449269317315,0.5465367965367965,0.9052714369329822,0.45346320346320346,0.09472856306701785,0.4423657211828606,0.3707544455314496,0.3720945991732737,733,32213
lab_hyponatremia,0.23144227,0.0,94045,94045,0.7330003796325744,0.7330000432901165,1.4435275100600263e-06,0.5950300174785318,0.7338432235297592,0.4049699825214682,0.26615677647024083,0.0,0.0,0.0,0,0
lab_hyponatremia,0.23144227,0.5,94045,74681,0.8003564201571416,0.7591774922270975,0.28507262294894364,0.5785703626324429,0.8174172743596321,0.42142963736755706,0.18258272564036793,0.23615016338627556,0.19414709052519674,0.2059014301664097,6215,13149
lab_hyponatremia,0.23144227,0.6,94045,70010,0.8159000202660323,0.7653367683015582,0.35169228937721525,0.582791422582899,0.8280645098535105,0.4172085774171011,0.1719354901464895,0.29299338855536133,0.2410264739321098,0.25556914243181456,7711,16324
lab_hyponatremia,0.23144227,0.7,94045,64781,0.8332651731348216,0.7727085058018016,0.4261500953110217,0.5889314100677068,0.8393798644238012,0.4110685899322932,0.16062013557619884,0.3546242115662284,0.29428440651438864,0.31117018448615025,9333,19931
lab_hyponatremia,0.23144227,0.8,94045,58072,0.8539414391477161,0.7823139318967822,0.5140092998381826,0.6010307208352854,0.8530291437713013,0.39896927916471453,0.14697085622869863,0.43228968766623604,0.36316387851226245,0.3825083736509118,11377,24596
lab_hyponatremia,0.23144227,0.9,94045,48737,0.8812613010467443,0.7966730249789336,0.6297443244159019,0.617076960824405,0.8708299096138045,0.382923039175595,0.12917009038619556,0.5354130253058743,0.4609240037208204,0.4817693657291722,14091,31217
lab_hyponatremia,0.23144227,0.95,94045,41557,0.9015023426762866,0.8086611295347964,0.7142279658117884,0.6348507097405776,0.8832876013017676,0.36514929025942244,0.1167123986982324,0.6118626035413025,0.5372303512631594,0.5581157956297517,16103,36385
new_hypertension,0.21301332,0.0,1822,1822,0.7291825821237586,0.7291825821237585,0.0,0.634453781512605,0.6906565656565656,0.36554621848739494,0.30934343434343436,0.0,0.0,0.0,0,0
new_hypertension,0.21301332,0.5,1822,1607,0.7655858697366346,0.7439207778078072,0.1590007215007215,0.6456310679611651,0.7273376159885796,0.35436893203883496,0.2726623840114204,0.13445378151260504,0.11553030303030302,0.11800219538968167,32,183
new_hypertension,0.21301332,0.6,1822,1557,0.7748470315859104,0.7474958388939705,0.19799359137594433,0.6428571428571429,0.7296105804555474,0.35714285714285715,0.2703894195444526,0.17647058823529413,0.1407828282828283,0.14544456641053788,42,223
new_hypertension,0.21301332,0.7,1822,1497,0.784564543118598,0.7518941975417524,0.24228100331041508,0.6544502617801047,0.7320061255742726,0.34554973821989526,0.2679938744257274,0.19747899159663865,0.1755050505050505,0.1783754116355653,47,278
new_hypertension,0.21301332,0.8,1822,1421,0.7974561347275696,0.7575679881970871,0.2965712800271624,0.6759776536312849,0.7375201288244766,0.3240223463687151,0.26247987117552335,0.24789915966386555,0.2159090909090909,0.22008781558726673,59,342
new_hypertension,0.21301332,0.9,1822,1319,0.8163650795672087,0.7651961556640933,0.3750875350140056,0.6848484848484848,0.7383015597920277,0.3151515151515151,0.2616984402079723,0.3067226890756303,0.27146464646464646,0.27607025246981337,73,430
new_hypertension,0.21301332,0.95,1822,1217,0.8317273662454345,0.7742877377831344,0.4378713606654783,0.6887417218543046,0.7448405253283302,0.31125827814569534,0.2551594746716698,0.36554621848739494,0.32702020202020204,0.33205268935236004,87,518
lab_hypoglycemia,0.006567566,0.0,130462,130462,0.7832283530734124,0.7832283492007097,1.3673429070672813e-08,0.5604460093896714,0.8330589167275043,0.4395539906103286,0.16694108327249568,0.0,0.0,0.0,0,0
